Fabric code,Inward Date,Priority,Priority.1,MIGO NO,MIGO Date,Security inward no,Security inward date,LR no.,LR Date,Transporter Name,Inv numb,Invoice Date,Invoice-No. of Rolls,Invoice Qty,Supplier Name ,Fabric Composition,GC / Non GC,PO Number,DA NO,Product,Brand,Sub Brand,UOM,Knit/Woven,FDR-Qty,FDR-NO,Wip Status,Inspection Date,Name of inspector,Inspection Report no.,Inspected roll,Fabric Quantity (Inspected),Inspection Result,PO Width,Avg WIDTH,% Between ActWidth vs PO Width,No of Shade Group,CSV Observation,Lab Test Status,GRN Qty,GRN No.,GRN Date,GRN lead time,Total Fabric Quantity Under FRA,FRA No.,Fra Raised Date,FRA Closure Date,FRA Closure Lead Time,Reason for Delay in GRN,Fabric Quantity (FRA With EC),% EC Approved,Approved By (FRA With EC),Fabric Quantity - RTS,Farbic RTS Date ,RTS Doc no.,RTS LR no.,Sourcing Person ,Date of Invoice Submission to Parking Team ,Type of fabric,REMARKS,GIR,PO ISSUES
F325LYSH3387,2025-04-02,,,5005711937.0,2025-04-02,88 / 02.04.2025,2025-04-02,897286,2025-03-25 00:00:00,FLYWING CARGO,SDI2442039,2025-03-24 00:00:00,14.0,1546.0,ARVIND LTD,,GC,3310042019,ABFRL,SHIRT FABRIC,HOLP,LY,M,Woven,,,GRN Done,2025-04-04 00:00:00,Rakesh,8463.0,3.0,440.0,Pass,,147.0,,2.0,,Pass,1546.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Print,,0.0,
F325LYSH3540,2025-04-02,,,5005713185.0,2025-04-02,90 / 02.04.2025,2025-04-02,897290,2025-03-25 00:00:00,FLYWING CARGO,SDI2442050,2025-03-24 00:00:00,9.0,1168.0,ARVIND LTD,,GC,3310048682,ABFRL,SHIRT FABRIC,HOLP,LY,M,Woven,,,GRN Done,2025-04-04 00:00:00,Bikram ,9137.0,3.0,604.0,Pass,,149.0,,1.0,,Pass,1168.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Print,,0.0,
F325LPSH4905,2025-04-02,,,5005713045.0,2025-04-02,91 / 02.04.2025,2025-04-02,897295,2025-03-25 00:00:00,FLYWING CARGO,SDI2442056,2025-03-24 00:00:00,13.0,1409.0,ARVIND LTD,,GC,3310048459,ABFRL,SHIRT FABRIC,HOLP,LP,M,Woven,,,GRN Done,2025-04-04 00:00:00,Rakesh,8462.0,3.0,454.0,Pass,,145.0,,1.0,,Pass,1409.0,,2025-04-07,5,1409.0,400004717,2025-04-05,2025-04-07,,FDR within TPT,,,,,,,,,2025-04-08 00:00:00,Print,,0.0,
F325LYSH7227,2025-04-02,,,5005713846.0,2025-04-02,92 /02.04.2025,2025-04-02,897291,2025-03-25 00:00:00,FLYWING CARGO,SDI2442051,2025-03-24 00:00:00,20.0,2952.0,ARVIND LTD,,GC,3310048690,ABFRL,SHIRT FABRIC,HOLP,LY,M,Woven,,,GRN Done,2025-04-04 00:00:00,Ujjwal,8036.0,5.0,926.0,Pass,,148.0,,2.0,,Pass,2952.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Print,,0.0,
F325LPSH4895,2025-04-02,,,5005712842.0,2025-04-02,93 / 02.04.2025,2025-04-02,897296,2025-03-25 00:00:00,FLYWING CARGO,SDI2442057,2025-03-24 00:00:00,5.0,442.0,ARVIND LTD,,GC,3310048976,ABFRL,SHIRT FABRIC,HOLP,LP,M,Woven,,,GRN Done,2025-04-05 00:00:00,Ujjwal,8041.0,2.0,215.0,Reject,,150.0,,1.0,,Pass,442.0,,2025-04-08,6,442.0,200007862,2025-04-05,2025-04-07,,FRA within TPT ,442.0,4.0,,,,,,Vaibhav,2025-04-09 00:00:00,Plain,,0.0,
F323LPSH6027,2025-04-02,,,5005713485.0,2025-04-02,100 / 02.04.2025,2025-04-02,897292,2025-03-25 00:00:00,FLYWING CARGO,SDI2442053,2025-03-24 00:00:00,9.0,478.0,ARVIND LTD,,GC,3310048429,ABFRL,SHIRT FABRIC,HOLP,LP,M,Woven,,,GRN Done,2025-04-05 00:00:00,Rakesh,8473.0,2.0,127.0,Pass,,149.0,,3.0,,Pass,478.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Print,,0.0,
F325LPSH4904,2025-04-02,,,5005712849.0,2025-04-02,95 / 02.04.2025,2025-04-02,897294,2025-03-25 00:00:00,FLYWING CARGO,SDI2442055,2025-03-24 00:00:00,19.0,2655.0,ARVIND LTD,,GC,3310048458,ABFRL,SHIRT FABRIC,HOLP,LP,M,Woven,,,GRN Done,2025-04-04 00:00:00,Bikram ,9139.0,5.0,830.0,Pass,,146.0,,2.0,,Pass,2655.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Print,,0.0,
F325LPSH4919,2025-04-02,,,5005712847.0,2025-04-02,96 / 02.04.2025,2025-04-02,897297,2025-03-25 00:00:00,FLYWING CARGO,SDI2442058,2025-03-24 00:00:00,10.0,860.0,ARVIND LTD,,GC,3310048985,ABFRL,SHIRT FABRIC,HOLP,LP,M,Woven,,,GRN Done,2025-04-04 00:00:00,Bikram ,9140.0,3.0,394.0,Pass,,146.0,,1.0,,Pass,860.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Print,,0.0,
F323LPSH6044,2025-04-02,,,5005713042.0,2025-04-02,97 / 02.04.2025,2025-04-02,897293,2025-03-25 00:00:00,FLYWING CARGO,SDI2442054,2025-03-24 00:00:00,17.0,1824.0,ARVIND LTD,,GC,3310048430,ABFRL,SHIRT FABRIC,HOLP,LP,M,Woven,,,GRN Done,2025-04-04 00:00:00,Kamala,9051.0,3.0,580.0,Pass,,156.0,,3.0,,Pass,1824.0,,2025-04-07,5,1824.0,400004716,2025-04-05,2025-04-07,,FDR within TPT,,,,,,,,,2025-04-08 00:00:00,Print,,0.0,
F325LYSH3042,2025-04-02,,,5005714020.0,2025-04-02,78 /02.04.2025,2025-04-02,897287,2025-03-25 00:00:00,FLYWING CARGO,SDI2442047,2025-03-24 00:00:00,16.0,2073.0,ARVIND LTD,,GC,3310048647,ABFRL,SHIRT FABRIC,HOLP,LY,M,Woven,,,GRN Done,2025-04-05 00:00:00,Bikram ,9143.0,5.0,917.0,Pass,,148.0,,1.0,,Pass,2073.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Print,,0.0,
