Plant,Brand,Product,Material,Description,Stock Qty,Bin NO,Updated Date
F006,AS,RMTBUTTON,TBATBTN0109N,AS shirt Spring 18L Black,721,,
F006,AS,RMTBUTTON,TBATBTN0110N,AS shirt Spring 14L Black,760,,
F006,AS,RMTBUTTON,TBATBTN0111N,AS Shirt Spring 18L Navy,1976,,
F006,AS,RMTBUTTON,TBATBTN0112N,AS Shirt Spring 14L Navy,1287,,
F006,AS,RMTBUTTON,TBATBTN0113N,AS T Shirt POL 1321 White  colr 505 16L,24955,,
F006,AS,RMTBUTTON,TBATBTN0114N,AS T Shirt POL 1321 White  colr 505 14L,9397,,
F006,AS,RMTBUTTON,TBATBTN0115N,AS T Shirt pol 1321 16L Black,5700,,
F006,AS,RMTBUTTON,TBATBTN0119N,ALLNE SOLLY 11/635-2017 14-0756 TCX,14644,,
F006,AS,RMTBUTTON,TBATBTN0120N,AS T shirt 11/635 2017 14-0756 yellow 14,2349,,
F006,AS,RMTBUTTON,TBATBTN0121N,AS T Shirt 11/635/2017 16L 18-1762 TCX,7622,S0484,2025-03-13 00:00:00
F006,AS,RMTBUTTON,TBATBTN0124N,AS T Shirt 11/635/2017 14L 19-3940 TCX,13016,,
F006,AS,RMTLABEL,TBATMNL0056N,heat transfer main label size 38 ,3800,S0541,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBATMNL0057N,heat transfer main label size 39,1000,S0538,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBATMNL0058N,heat transfer main label size 40,4758,S0705,2025-02-19 00:00:00
F006,AS,RMTLABEL,TBATMNL0059N,heat transfer main label size 42,4575,S0539,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBATMNL0060N,heat transfer main label size 44,5497,S0541,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBATMNL0061N,heat transfer main label size 48,7300,,
F006,AS,RMTLABEL,TBATMNL0062N,HEAT TRANSFER MAIN LABEL BLACK SIZE 46,6086,S0541,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBATMNL0069N,AS T shirt 1819U1220 SIZE 38,795,S0538,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBATMNL0070N,AS T shirt 1819U1220 SIZE 39,861,S0538,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBATMNL0071N,AS T shirt 1819U1220 SIZE 42,1500,S0539,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBATMNL0073N,AS T shirt 1819U1220 SIZE 46,1235,S0515,2025-03-03 00:00:00
F006,AS,RMTLABEL,TBATMNL0074N,AS T shirt 1819U1220 SIZE 48,699,S0538,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBATOTR0030N,AS MF 1718/797/25 HT LABEL 46,4700,S0561,2025-03-11 00:00:00
F006,AS,RMTBUTTON,TBAWBCR07979,AS KIDS ASBB004 NAVY METAL LOGO BTN 18L,2624,,
F006,AS,RMTBADGES,TBAWBCR08542,AS stag oval GOLD small POL,4847,S0478,2025-02-22 00:00:00
F006,AS,RMTBADGES,TBAWBCR08543,AS stag Oval Silver small Pol,19958,S0487,2025-03-14 00:00:00
F006,AS,RMTBADGES,TBAWBCR08844,AS stag oval Big Silver Pol,5003,S0509,2025-03-03 00:00:00
F006,AS,RMTBADGES,TBAWBCR08845,AS stag Oval Big Gold Pol,62580,S0472,2025-03-15 00:00:00
F006,AS,RMTBUTTON,TBAWBTN07640,ASWW14L BRANDED POLY 4H DTM BTN vai,2126,,
F006,AS,RMTBUTTON,TBAWBTN07641,16L BRANDED POLY 4 HOLE WHITE TWH-08 BTN,696171,S0650/S0659,2025-02-15 00:00:00
F006,AS,RMTBUTTON,TBAWBTN07642,14L BRANDED POLY 4 HOLE WHITE TWH-08 BTN,121715,S0671,2025-02-17 00:00:00
F006,AS,RMTBUTTON,TBAWBTN07644,ASWW14L BRANDED POLY 4H BLACK 2021-BK va,81992,S0531,2025-03-08 00:00:00
F006,AS,RMTBUTTON,TBAWBTN07650,ASWW14L BRANDED POLY 4H NAVY VA1102 vai,13004,,
