Supplier Name,"Fabric Type 
(YD / Solid / Print)",Brand,Sub Brand,"Month
(MMM-YY)",Fabric Code,Fabric Content,"Inward Date 
(DD-MMM-YYYY)",MIGO Date,PO No.,"Actual Received 
Quantity","Quantity Passed 
Without EC","Quantity Passed 
With EC","Quantity 
Rejected","Reason for Rejected Qty
(If any Qty rejected then Pls  mention the exact reason here)",Approved EC %,FRA Qty,"Inspection Date 
(DD-MMM-YY)","Inspection 
Report No.","PO Full Width
(cms)","Actual Full Width Avg
(cms)",Diffrence,"Cuttable Width
(cms)","Lowest 
Index","Average 
Index  ","Highest 
Index","Area of FRA
(Lab / VI / CSV / SG / WD)",FRA No.,"FRA Raised Date
(DD-MMM-YY)","FRA Sent Date
(DD-MMM-YY)","FRA Closed Date
(DD-MMM-YY)","Total Days 
(Taken for Closure)","Status 
(Clear / EC / RTS / Pending)","CSV 
(OK/NOT OK)",FRA Reason,Final Agreed Decision
Continental Textile Co Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F523LYSH6670,100% Cotton,2025-04-08,2025-04-08,3310048821,2403.4,,,2403.4,Streaky,,2403.4,2025-04-10,8076.0,137.0,137.0,0.0,133.0,9.0,11.0,13.0,VI,200007894,2025-04-11,2025-04-11,2025-04-24,10,RTS,OK,Streaky,Move to block stock
Aarti International Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F525LRKP6369,100% Cotton,2025-04-07,2025-04-07,3310053398,21.98,,21.98,,"Stain,holes",4.0,21.98,2025-04-11,8951.0,176.0,183.0,7.0,177.0,42.0,42.0,42.0,VI,200007950,2025-04-11,2025-04-11,2025-04-16,4,EC,OK,"Stain,holes",Accepted with 4% EC for recut
Ankush Knitting Works Pvt Ltd,Print,HOAS,AS,2025-04-02 00:00:00,F325ASSH1548,100% Cotton,2025-04-07,2025-04-07,3310051974,592.12,,,592.12,Streaky,,592.12,2025-04-11,8229.0,145.0,148.0,3.0,144.0,13.0,31.0,50.0,VI / CSV / SG,200007960,2025-04-12,2025-04-12,2025-04-17,4,RTS,Not OK,"Streaky,holes,cut pieces,Higher GSM,off shade,csv",RTS
Ankush Knitting Works Pvt Ltd,Print,HOAS,AS,2025-04-02 00:00:00,F325ASSH1548,100% Cotton,2025-04-07,2025-04-07,3310051974,595.56,,,595.56,Streaky,,595.56,2025-04-10,8232.0,145.0,148.0,3.0,145.0,14.0,27.0,32.0,VI / CSV / SG,200007962,2025-04-12,2025-04-12,2025-04-17,4,RTS,Not OK,"Streaky,holes,cut pieces,off shade,csv",RTS
Ankush Knitting Works Pvt Ltd,Print,HOAS,AS,2025-04-02 00:00:00,F325ASSH1548,100% Cotton,2025-04-09,2025-04-09,3310051974,596.05,,,596.05,Streaky,,596.05,2025-04-12,8961.0,145.0,152.0,7.0,148.0,26.0,36.0,55.0,VI / CSV / SG,200007963,2025-04-12,2025-04-12,2025-04-17,4,RTS,Not OK,"Streaky,holes,cut pieces,off shade,csv",RTS
Arama Tessile,Print,HOAS,AS,2025-04-02 00:00:00,F325ASSH6115,100% Cotton,2025-04-09,2025-04-09,3310051814,556.0,556.0,,,,,556.0,2025-04-11,7812.0,138.0,145.0,7.0,142.0,5.0,7.0,10.0,SG,200007578,2025-04-12,2025-04-12,2025-04-16,3,Clear,OK,Off shade,Shades Approved by brand
Arama Tessile,Print,HOAS,AS,2025-04-02 00:00:00,F325ASSH6120,100% Cotton,2025-04-09,2025-04-09,3310051819,626.0,,,626.0,Stain,,626.0,2025-04-11,9200.0,138.0,145.0,7.0,141.0,5.0,6.0,8.0,VI / SG,200007577,2025-04-12,2025-04-12,2025-04-17,4,RTS,OK,"Off shade,stain",RTS
Arama Tessile,Print,HOAS,AS,2025-04-02 00:00:00,F325ASSH6118,100% Cotton,2025-04-09,2025-04-09,3310051817,630.0,,,630.0,Stain,,630.0,2025-04-12,7815.0,138.0,145.0,7.0,142.0,5.0,5.0,5.0,VI,200007576,2025-04-12,2025-04-12,2025-04-17,4,RTS,OK,Stain,RTS
Krishna Alkali (Bombay) Pvt Ltd,Print,HOLP,LP,2025-04-02 00:00:00,F325LRSH389,100% Cotton,2025-04-09,2025-04-09,3310048599,849.7,,,849.7,White dots,,849.7,2025-04-11,8082.0,137.0,145.0,8.0,141.0,7.0,11.0,17.0,VI,200007575,2025-04-12,2025-04-12,2025-04-16,3,RTS,OK,White dots,RTS
Arvind Ltd,Print,HOLP,LP,2025-04-02 00:00:00,F325LPSH4906,100% Cotton,2025-04-09,2025-04-09,3310048460,2684.0,2684.0,,,,,2684.0,2025-04-11,8954.0,137.0,148.0,11.0,145.0,4.0,6.0,9.0,SG,200007574,2025-04-12,2025-04-12,2025-04-16,3,Clear,Not OK,Off shade,Shades Approved by brand
Arvind Ltd,Print,HOLP,LP,2025-04-02 00:00:00,F325LPSH4895,100% Cotton,2025-04-09,2025-04-09,3310048976,132.0,,132.0,,Contamination,6.0,132.0,2025-04-11,8711.0,137.0,150.0,13.0,146.0,53.0,56.0,62.0,VI,200007573,2025-04-12,2025-04-12,2025-04-16,3,EC,OK,Contamination,Accepted with 6% EC for recut
Ankush Knitting Works Pvt Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F324LYSH3020,100% Cotton,2025-04-09,2025-04-09,3310048651,126.9,,,126.9,Soak test,,126.9,2025-04-12,8960.0,137.0,234.0,97.0,230.0,10.0,13.0,16.0,Lab / VI,200007965,2025-04-12,2025-04-12,2025-04-16,3,RTS,OK,Lab soak test,RTS
Arvind Ltd,Print,HOLP,LP,2025-04-02 00:00:00,F325LRSH4764,100% Cotton,2025-04-09,2025-04-09,3310048431,1081.0,,1081.0,,Contamination,4.0,1081.0,2025-04-12,8087.0,137.0,151.0,14.0,146.0,28.0,32.0,36.0,VI,200007966,2025-04-12,2025-04-12,2025-04-16,3,EC,OK,Contamination,Accepted with 4% EC for recut
Krishna Alkali (Bombay) Pvt Ltd,Print,SC,SC,2025-04-02 00:00:00,F325SCSH6500,100% Cotton,2025-04-09,2025-04-09,3310048021,434.6,434.6,,,,,434.6,2025-04-11,9199.0,137.0,149.0,12.0,146.0,3.0,3.0,4.0,VI,200007579,2025-04-12,2025-04-12,2025-04-15,2,Clear,OK,"Streaky,white dots","Streaky,white dots approved by brand"
Aarti International Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F523LRKP4036,100% Cotton,2025-04-09,2025-04-09,3310053396,76.83,76.83,,,,,76.83,2025-04-12,8234.0,176.0,174.0,-2.0,170.0,12.0,17.0,20.0,VI,200007964,2025-04-12,2025-04-12,2025-04-16,3,Clear,OK,"Cut pieces,lower GSM",GSM Approved accepted w/o EC
Auro Textiles,Print,HOLP,LP,2025-04-02 00:00:00,F525LYSH7130,100% Cotton,2025-04-10,2025-04-10,3310054291,1013.0,,,1013.0,Print bowing,,1013.0,2025-04-15,8267.0,144.0,138.0,-6.0,134.0,2.0,3.0,6.0,VI,200007972,2025-04-15,2025-04-15,2025-04-16,2,RTS,OK,"Print bowing 6.5%,off shade,less width",RTS
Auro Textiles,Print,HOLP,LP,2025-04-02 00:00:00,F525LYSH7116,100% Cotton,2025-04-10,2025-04-10,3310054278,982.0,,,982.0,Print bowing,,982.0,2025-04-12,7822.0,144.0,138.0,-6.0,134.0,7.0,7.0,8.0,VI,200007971,2025-04-15,2025-04-15,2025-04-16,2,RTS,Not OK,"Print bowing 7.2%,less width",RTS
Auro Textiles,Solids,HOLP,LP,2025-04-02 00:00:00,F521LYSH8526,100% Cotton,2025-04-10,2025-04-10,3310054226,587.0,587.0,,,,,587.0,2025-04-12,8713.0,144.0,138.0,-6.0,135.0,9.0,9.0,9.0,SG,200007948,2025-04-15,2025-04-15,2025-04-16,1,Clear,Not OK,"Off shade,Less width 138cm ( Sap width 144cm)",Shades Approved by brand
Arvind Ltd,Print,HOLP,LP,2025-04-02 00:00:00,F324LPSH5037,100% Cotton,2025-04-09,2025-04-09,3310041979,826.0,,,826.0,Bad smell,,826.0,2025-04-11,8080.0,137.0,150.0,13.0,145.0,9.0,11.0,14.0,VI,200007947,2025-04-15,2025-04-15,2025-04-16,1,RTS,Not OK,Bad smell,RTS
Ankush Knitting Works Pvt Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F324LYSH2440,100% Cotton,2025-04-07,2025-04-07,3310054253,157.9,,,157.9,Soak test,,157.9,2025-04-10,8947.0,144.0,238.0,94.0,234.0,12.0,21.0,33.0,Lab / VI,200007983,2025-04-15,2025-04-15,2025-04-16,1,RTS,Not OK,"Streaky,lab soak test 2*",RTS
Penfabric Sdn. Berhad,Solids,HOAS,AS,2025-04-02 00:00:00,F319ASSH5580,100% Cotton,2025-04-10,2025-04-10,3310053829,1491.0,1491.0,,,,,1491.0,2025-04-12,9176.0,145.0,151.0,6.0,148.0,2.0,3.0,4.0,VI,200007982,2025-04-15,2025-04-15,2025-04-16,1,Clear,Not OK,Contamination,3% EC qty need to post brand cost centre
